user_coverage,catalog_coverage,n_evaluable,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,diversity_at_10,modele,fenetre,policy_combo
1.0,0.043333333333333335,3781,0.02121131975667813,0.05795015176131283,0.04068466562048676,0.020153398571806397,0.10981032984471228,0.05994843709146483,0.03420824884657204,0.3177466278762231,popularite_globale,0,defaut_exclut_achats_stock_filtre
1.0,0.043333333333333335,3781,0.020100502512562814,0.054516315915416676,0.039180235284650054,0.020603015075376888,0.11314970844195918,0.06101046519752977,0.03460423812182606,0.30010579211848715,popularite_recente,0,defaut_exclut_achats_stock_filtre
1.0,0.34,3781,0.01740280349113991,0.04884951071145199,0.03457208596428388,0.015101824914043905,0.08500837520938022,0.04779679739258831,0.028556705485097447,0.13821740280349118,popularite_categorie,0,defaut_exclut_achats_stock_filtre
1.0,0.51,3781,0.011266860618883894,0.030243321872520497,0.021929048477672197,0.012536366040729966,0.07090716741602751,0.036845051170892255,0.020439245447510454,0.516741602750595,collaboratif_item_item,0,defaut_exclut_achats_stock_filtre
1.0,0.51,3781,0.01248346998148638,0.03306444503217844,0.023104263757864306,0.013118222692409415,0.07113417967028124,0.03730572836220081,0.020323299174793488,0.15739222427929123,contenu_categorie_prix,0,defaut_exclut_achats_stock_filtre
1.0,0.03333333333333333,3781,0.02158159217138323,0.059272553242402486,0.041310266120912334,0.0201533985718064,0.11068311482223145,0.06031382287272922,0.034497611630975825,0.29999999999999993,popularite_globale,0,inclut_produits_deja_achetes
1.0,0.03333333333333333,3781,0.01999471039407564,0.05414163549577461,0.0391301968632539,0.020629463104998677,0.11436820694953465,0.061457741090019266,0.03489028615648557,0.29999999999999993,popularite_recente,0,inclut_produits_deja_achetes
1.0,0.26666666666666666,3781,0.017508595609627083,0.04882747068676716,0.03460952658622543,0.015128272943665698,0.08550647976725732,0.04800909061632701,0.028660771134984303,0.13792647447765144,popularite_categorie,0,inclut_produits_deja_achetes
1.0,0.51,3781,0.011584236974345411,0.03097064268711981,0.022424704374627027,0.01256281407035176,0.07123776778629992,0.03712525378042113,0.02066142988683322,0.5171647712245437,collaboratif_item_item,0,inclut_produits_deja_achetes
1.0,0.51,3781,0.012166093626024862,0.03285726880014105,0.023726732882384804,0.012985982544300452,0.07125760380851626,0.038047341904564526,0.021324295873687567,0.15718064004231685,contenu_categorie_prix,0,inclut_produits_deja_achetes
1.0,0.043333333333333335,3781,0.02121131975667813,0.05795015176131283,0.04068466562048676,0.020153398571806397,0.10981032984471228,0.05994843709146483,0.03420824884657204,0.3177466278762231,popularite_globale,0,sans_filtre_stock
1.0,0.043333333333333335,3781,0.020100502512562814,0.054516315915416676,0.039180235284650054,0.020603015075376888,0.11314970844195918,0.06101046519752977,0.03460423812182606,0.30010579211848715,popularite_recente,0,sans_filtre_stock
1.0,0.34,3781,0.01740280349113991,0.04884951071145199,0.03457208596428388,0.015101824914043905,0.08500837520938022,0.04779679739258831,0.028556705485097447,0.13821740280349118,popularite_categorie,0,sans_filtre_stock
1.0,0.5166666666666667,3781,0.011266860618883894,0.030243321872520497,0.021929048477672197,0.012536366040729966,0.07090716741602751,0.036845051170892255,0.020439245447510454,0.5168077228246495,collaboratif_item_item,0,sans_filtre_stock
1.0,0.51,3781,0.01248346998148638,0.03306444503217844,0.023104263757864306,0.013118222692409415,0.07113417967028124,0.03730572836220081,0.020323299174793488,0.15739222427929123,contenu_categorie_prix,0,sans_filtre_stock
1.0,0.056666666666666664,4396,0.016742493175614194,0.035829198983202616,0.02693974837461259,0.0158098271155596,0.06580829253144993,0.039244087046006945,0.02078851101152219,0.35454959053685164,popularite_globale,1,defaut_exclut_achats_stock_filtre
1.0,0.05333333333333334,4396,0.017015468607825296,0.035890401808281694,0.02714713402329554,0.015878070973612376,0.06701294105752703,0.03952617803240865,0.02094539816482654,0.2915605095541401,popularite_recente,1,defaut_exclut_achats_stock_filtre
1.0,0.4,4396,0.013557779799818016,0.027288877334373237,0.02172857717300876,0.011988171064604185,0.04762825512370553,0.030130451314026852,0.016372999925377083,0.09999999999999998,popularite_categorie,1,defaut_exclut_achats_stock_filtre
1.0,0.30666666666666664,4396,0.01565059144676979,0.03286239655097707,0.025453238047315183,0.014740673339399457,0.06109134205699264,0.0371020491911272,0.01990105693728305,0.36246587807097363,collaboratif_item_item,1,defaut_exclut_achats_stock_filtre
1.0,0.7366666666666667,4396,0.010054595086442221,0.02067500036107861,0.01585962687044059,0.010282074613284805,0.043498057397056485,0.02491180458241112,0.012695466468864361,0.1692220200181984,contenu_categorie_prix,1,defaut_exclut_achats_stock_filtre
1.0,0.03333333333333333,4396,0.01656050955414013,0.036136296344440114,0.026956470517774143,0.01599181073703367,0.06774818738535754,0.039833569967530055,0.021131248981242478,0.29999999999999993,popularite_globale,1,inclut_produits_deja_achetes
1.0,0.03333333333333333,4396,0.016651501364877162,0.035804826176755206,0.02737005667534486,0.0160828025477707,0.06842548059563527,0.04045366738931585,0.021681074778005432,0.29999999999999993,popularite_recente,1,inclut_produits_deja_achetes
1.0,0.26666666666666666,4396,0.013739763421292085,0.028091374554067912,0.022238595322401612,0.012329390354868063,0.04917060242355966,0.031091001993573533,0.017013476979862815,0.09999999999999998,popularite_categorie,1,inclut_produits_deja_achetes
1.0,0.30333333333333334,4396,0.015878070973612376,0.033317355604662244,0.025740529672837745,0.015036396724294816,0.06275004694021984,0.037799402467846105,0.02018782858153877,0.3591901728844404,collaboratif_item_item,1,inclut_produits_deja_achetes
1.0,0.7333333333333333,4396,0.01019108280254777,0.021599090804049856,0.015966853126149223,0.009849863512283896,0.042253238875167895,0.024199299397559153,0.012391521452884056,0.16462693357597818,contenu_categorie_prix,1,inclut_produits_deja_achetes
1.0,0.056666666666666664,4396,0.016742493175614194,0.035829198983202616,0.02693974837461259,0.0158098271155596,0.06580829253144993,0.039244087046006945,0.02078851101152219,0.35454959053685164,popularite_globale,1,sans_filtre_stock
1.0,0.05333333333333334,4396,0.017015468607825296,0.035890401808281694,0.02714713402329554,0.015878070973612376,0.06701294105752703,0.03952617803240865,0.02094539816482654,0.2915605095541401,popularite_recente,1,sans_filtre_stock
1.0,0.4,4396,0.013557779799818016,0.027288877334373237,0.02172857717300876,0.011988171064604185,0.04762825512370553,0.030130451314026852,0.016372999925377083,0.09999999999999998,popularite_categorie,1,sans_filtre_stock
1.0,0.30666666666666664,4396,0.01565059144676979,0.03286239655097707,0.025453238047315183,0.014740673339399457,0.06109134205699264,0.0371020491911272,0.01990105693728305,0.36246587807097363,collaboratif_item_item,1,sans_filtre_stock
1.0,0.7366666666666667,4396,0.010054595086442221,0.02067500036107861,0.01585962687044059,0.010282074613284805,0.043498057397056485,0.02491180458241112,0.012695466468864361,0.1692220200181984,contenu_categorie_prix,1,sans_filtre_stock
1.0,0.056666666666666664,4531,0.018538953873317148,0.03628233019095963,0.027471662145273176,0.01754579563010373,0.0682605367608678,0.04064883052302749,0.020558748475480827,0.3551092474067534,popularite_globale,2,defaut_exclut_achats_stock_filtre
1.0,0.05,4531,0.016376075921430144,0.030290187876813344,0.024966061774913714,0.01646435665416023,0.06250109475114993,0.03816483801327331,0.01932301089346207,0.38567645111454424,popularite_recente,2,defaut_exclut_achats_stock_filtre
1.0,0.4166666666666667,4531,0.015007724564113882,0.02926637660140198,0.023062914757703615,0.013264180092694769,0.05097338106607583,0.03201394692027586,0.016709503132281138,0.09999999999999999,popularite_categorie,2,defaut_exclut_achats_stock_filtre
1.0,0.23,4531,0.01765614654601633,0.03403125908643454,0.027666558611561205,0.017678216729198854,0.06816752670317006,0.041730206495942834,0.021738633522022557,0.34917236813065544,collaboratif_item_item,2,defaut_exclut_achats_stock_filtre
1.0,0.78,4531,0.01015228426395939,0.01814931004403527,0.014806402665992716,0.010726109026704924,0.03942163858848917,0.023644705981110715,0.011416414894754584,0.17130876186272348,contenu_categorie_prix,2,defaut_exclut_achats_stock_filtre
1.0,0.03333333333333333,4531,0.01800926947693666,0.03489584975460058,0.02678644039305693,0.01754579563010373,0.06848649339821267,0.040612708005788534,0.02052907060590243,0.29999999999999993,popularite_globale,2,inclut_produits_deja_achetes
1.0,0.03333333333333333,4531,0.016376075921430148,0.02989975582670352,0.02468076748167715,0.01655263738689031,0.06269053049013322,0.03802539359416861,0.01916734530811761,0.39999999999999997,popularite_recente,2,inclut_produits_deja_achetes
1.0,0.26666666666666666,4531,0.015272566762304127,0.030415865308824914,0.02353735908958464,0.013595232840432575,0.05226701864309456,0.03270346734918568,0.01704017344695057,0.09999999999999999,popularite_categorie,2,inclut_produits_deja_achetes
1.0,0.23,4531,0.01761200617965129,0.03385312117931849,0.027569512248240346,0.017722357095563895,0.0677834004196838,0.0415937970767861,0.02166962228624744,0.34299271683954974,collaboratif_item_item,2,inclut_produits_deja_achetes
1.0,0.79,4531,0.010461266828514677,0.018915986169351872,0.015105152608891507,0.010836459942617524,0.04032861802118037,0.023916396436318037,0.011460087576477576,0.16559258441845065,contenu_categorie_prix,2,inclut_produits_deja_achetes
1.0,0.056666666666666664,4531,0.018538953873317148,0.03628233019095963,0.027471662145273176,0.01754579563010373,0.0682605367608678,0.04064883052302749,0.020558748475480827,0.3551092474067534,popularite_globale,2,sans_filtre_stock
1.0,0.05,4531,0.016376075921430144,0.030290187876813344,0.024966061774913714,0.01646435665416023,0.06250109475114993,0.03816483801327331,0.01932301089346207,0.38567645111454424,popularite_recente,2,sans_filtre_stock
1.0,0.4166666666666667,4531,0.015007724564113882,0.02926637660140198,0.023062914757703615,0.013264180092694769,0.05097338106607583,0.03201394692027586,0.016709503132281138,0.09999999999999999,popularite_categorie,2,sans_filtre_stock
1.0,0.23,4531,0.01765614654601633,0.03403125908643454,0.027666558611561205,0.017678216729198854,0.06816752670317006,0.041730206495942834,0.021738633522022557,0.34917236813065544,collaboratif_item_item,2,sans_filtre_stock
1.0,0.78,4531,0.01015228426395939,0.01814931004403527,0.014806402665992716,0.010726109026704924,0.03942163858848917,0.023644705981110715,0.011416414894754584,0.17130876186272348,contenu_categorie_prix,2,sans_filtre_stock
1.0,0.06,4538,0.016615249008373734,0.03102959488481745,0.02475057452461626,0.015910092551784927,0.059593678076489895,0.03661293028285884,0.018554124768020912,0.3059056853239312,popularite_globale,3,defaut_exclut_achats_stock_filtre
1.0,0.06,4538,0.015160863816659324,0.029463454986813294,0.023844107665514754,0.014698104892022917,0.05692179619019637,0.035172715397823136,0.018456752785831042,0.299559277214632,popularite_recente,3,defaut_exclut_achats_stock_filtre
1.0,0.4266666666666667,4538,0.013353900396650508,0.026190301300481996,0.021465122567153282,0.012604671661524902,0.046919575087270106,0.030310586102667698,0.016107009524342523,0.09999999999999999,popularite_categorie,3,defaut_exclut_achats_stock_filtre
1.0,0.14666666666666667,4538,0.015204936095196122,0.028827817302916465,0.022969089044892883,0.01483032172763332,0.056222935773398534,0.03432351568468639,0.017354079284130283,0.34107536359629786,collaboratif_item_item,3,defaut_exclut_achats_stock_filtre
1.0,0.72,4538,0.00978404583516968,0.016936609372704567,0.014388013057161976,0.009497576024680477,0.03424416042309387,0.02152325851448391,0.010846649748974561,0.17990304098721904,contenu_categorie_prix,3,defaut_exclut_achats_stock_filtre
1.0,0.03333333333333333,4538,0.017188188629352136,0.03213043995326939,0.025393832039193508,0.015755839576906128,0.05961265364085989,0.03663682486720392,0.018728290322054097,0.3,popularite_globale,3,inclut_produits_deja_achetes
1.0,0.03333333333333333,4538,0.01511679153812252,0.02898259494777785,0.023747920756637175,0.014499779638607319,0.05631580236031536,0.03493483729846465,0.018369109892377698,0.3,popularite_recente,3,inclut_produits_deja_achetes
1.0,0.26666666666666666,4538,0.013926840017628912,0.027524362176191173,0.022046284277042465,0.012935213750550904,0.04854220445339881,0.03093889067426617,0.01616188927581218,0.09999999999999999,popularite_categorie,3,inclut_produits_deja_achetes
1.0,0.14666666666666667,4538,0.015425297487880126,0.029439320167614566,0.023466795055485407,0.014764213309828118,0.05679220270449887,0.034726342040146435,0.017708780552032774,0.3298148964301454,collaboratif_item_item,3,inclut_produits_deja_achetes
1.0,0.7033333333333334,4538,0.00978404583516968,0.01723409725282797,0.014710557344871847,0.009585720581754076,0.03484858024302713,0.022002927388903398,0.011185641523148606,0.17276333186425738,contenu_categorie_prix,3,inclut_produits_deja_achetes
1.0,0.06,4538,0.016615249008373734,0.03102959488481745,0.02475057452461626,0.015910092551784927,0.059593678076489895,0.03661293028285884,0.018554124768020912,0.3059056853239312,popularite_globale,3,sans_filtre_stock
1.0,0.06,4538,0.015160863816659324,0.029463454986813294,0.023844107665514754,0.014698104892022917,0.05692179619019637,0.035172715397823136,0.018456752785831042,0.299559277214632,popularite_recente,3,sans_filtre_stock
1.0,0.4266666666666667,4538,0.013353900396650508,0.026190301300481996,0.021465122567153282,0.012604671661524902,0.046919575087270106,0.030310586102667698,0.016107009524342523,0.09999999999999999,popularite_categorie,3,sans_filtre_stock
1.0,0.14666666666666667,4538,0.015204936095196122,0.028827817302916465,0.022969089044892883,0.01483032172763332,0.056222935773398534,0.03432351568468639,0.017354079284130283,0.34107536359629786,collaboratif_item_item,3,sans_filtre_stock
