user_coverage,catalog_coverage,n_evaluable,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,diversity_at_10,modele,fenetre,perimetre,taux_cibles_eligibles
1.0,0.043333333333333335,3781,0.02121131975667813,0.05795015176131283,0.04068466562048676,0.020153398571806397,0.10981032984471228,0.05994843709146483,0.03420824884657204,0.3177466278762231,popularite_globale,0,end_to_end_toutes_cibles,0.8962708958422632
1.0,0.043333333333333335,3781,0.02121131975667813,0.0656329198346005,0.045388444262310375,0.020153398571806397,0.12411097772442309,0.066714301174726,0.03905975723622782,0.3177466278762231,popularite_globale,0,ranking_cibles_eligibles_seules,0.8962708958422632
1.0,0.043333333333333335,3781,0.020100502512562814,0.054516315915416676,0.039180235284650054,0.020603015075376888,0.11314970844195918,0.06101046519752977,0.03460423812182606,0.30010579211848715,popularite_recente,0,end_to_end_toutes_cibles,0.8962708958422632
1.0,0.043333333333333335,3781,0.020100502512562814,0.06186074429771908,0.0437974150797367,0.020603015075376888,0.12723222622382285,0.06779066996863639,0.03951172320780164,0.30010579211848715,popularite_recente,0,ranking_cibles_eligibles_seules,0.8962708958422632
1.0,0.34,3781,0.01740280349113991,0.04884951071145199,0.03457208596428388,0.015101824914043905,0.08500837520938022,0.04779679739258831,0.028556705485097447,0.13821740280349118,popularite_categorie,0,end_to_end_toutes_cibles,0.8962708958422632
1.0,0.34,3781,0.01740280349113991,0.055700280112044816,0.03871608150872444,0.015101824914043905,0.09631185807656395,0.053314027123077194,0.03273320995064693,0.13821740280349118,popularite_categorie,0,ranking_cibles_eligibles_seules,0.8962708958422632
1.0,0.51,3781,0.011266860618883894,0.030243321872520497,0.021929048477672197,0.012536366040729966,0.07090716741602751,0.036845051170892255,0.020439245447510454,0.516741602750595,collaboratif_item_item,0,end_to_end_toutes_cibles,0.8962708958422632
1.0,0.51,3781,0.011266860618883894,0.03387488328664799,0.024073360573285605,0.012536366040729966,0.07904761904761906,0.04041850862581062,0.02271155313977443,0.516741602750595,collaboratif_item_item,0,ranking_cibles_eligibles_seules,0.8962708958422632
1.0,0.51,3781,0.01248346998148638,0.03306444503217844,0.023104263757864306,0.013118222692409415,0.07113417967028124,0.03730572836220081,0.020323299174793488,0.15739222427929123,contenu_categorie_prix,0,end_to_end_toutes_cibles,0.8962708958422632
1.0,0.51,3781,0.01248346998148638,0.037077497665732956,0.025464221813936875,0.013118222692409415,0.07935807656395891,0.04101918755948463,0.022740401716242052,0.15739222427929123,contenu_categorie_prix,0,ranking_cibles_eligibles_seules,0.8962708958422632
1.0,0.056666666666666664,4396,0.016742493175614194,0.035829198983202616,0.02693974837461259,0.0158098271155596,0.06580829253144993,0.039244087046006945,0.02078851101152219,0.35454959053685164,popularite_globale,1,end_to_end_toutes_cibles,0.9052371447581028
1.0,0.056666666666666664,4396,0.016742493175614194,0.03972227819195379,0.029143613887536234,0.0158098271155596,0.07371829314706606,0.04269286564823796,0.02315305638266381,0.35454959053685164,popularite_globale,1,ranking_cibles_eligibles_seules,0.9052371447581028
1.0,0.05333333333333334,4396,0.017015468607825296,0.035890401808281694,0.02714713402329554,0.015878070973612376,0.06701294105752703,0.03952617803240865,0.02094539816482654,0.2915605095541401,popularite_recente,1,end_to_end_toutes_cibles,0.9052371447581028
1.0,0.05333333333333334,4396,0.017015468607825296,0.040091118722994604,0.02938199224360485,0.015878070973612376,0.07448451877224796,0.04282030586360878,0.023147357908842894,0.2915605095541401,popularite_recente,1,ranking_cibles_eligibles_seules,0.9052371447581028
1.0,0.4,4396,0.013557779799818016,0.027288877334373237,0.02172857717300876,0.011988171064604185,0.04762825512370553,0.030130451314026852,0.016372999925377083,0.09999999999999998,popularite_categorie,1,end_to_end_toutes_cibles,0.9052371447581028
1.0,0.4,4396,0.013557779799818016,0.030598652248863812,0.023625857127586265,0.011988171064604185,0.05343598182103119,0.03285145887773199,0.018297442742964607,0.09999999999999998,popularite_categorie,1,ranking_cibles_eligibles_seules,0.9052371447581028
1.0,0.30666666666666664,4396,0.01565059144676979,0.03286239655097707,0.025453238047315183,0.014740673339399457,0.06109134205699264,0.0371020491911272,0.01990105693728305,0.36246587807097363,collaboratif_item_item,1,end_to_end_toutes_cibles,0.9052371447581028
1.0,0.30666666666666664,4396,0.01565059144676979,0.036521369243513103,0.027608514881729378,0.014740673339399457,0.0681627375915105,0.04034607035133634,0.022227165770973282,0.36246587807097363,collaboratif_item_item,1,ranking_cibles_eligibles_seules,0.9052371447581028
1.0,0.7366666666666667,4396,0.010054595086442221,0.02067500036107861,0.01585962687044059,0.010282074613284805,0.043498057397056485,0.02491180458241112,0.012695466468864361,0.1692220200181984,contenu_categorie_prix,1,end_to_end_toutes_cibles,0.9052371447581028
1.0,0.7366666666666667,4396,0.010054595086442221,0.023160554771979314,0.017310394091825974,0.010282074613284805,0.04821764389817986,0.02709514618110312,0.014228758864983595,0.1692220200181984,contenu_categorie_prix,1,ranking_cibles_eligibles_seules,0.9052371447581028
1.0,0.056666666666666664,4531,0.018538953873317148,0.03628233019095963,0.027471662145273176,0.01754579563010373,0.0682605367608678,0.04064883052302749,0.020558748475480827,0.3551092474067534,popularite_globale,2,end_to_end_toutes_cibles,0.9203421096763374
